abil exist multipl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
anxieti artist vincent | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
anxieti artist | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
anxieti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
applic color psycholog | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
applic color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
applic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
art aesthet profound | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
art aesthet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
art psycholog underscor | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
art psycholog | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
art therapi color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
art therapi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
art | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.02630359185413428
artist leverag centuri | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
artist leverag | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
artist vincent van | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
artist vincent | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
artist | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.017535727902756183
artwork color psycholog | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
artwork color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
artwork | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
aspect art therapi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
aspect art | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
aspect quantum mechan | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
aspect quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
aspect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
associ artist leverag | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
associ artist | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
associ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
atmospher paint van | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
atmospher paint | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
atmospher | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
avid travel combin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
avid travel | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
avid | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
baikal deepest freshwat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
baikal deepest | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
baikal | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
basic unit quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
basic unit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
basic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
bibl perfect vellum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
bibl perfect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
bibl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
bit basic unit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
bit basic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
bit qubit qubit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
bit qubit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
bit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.023474945555951577
blue hand frequent | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
blue hand | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
blue yellow creat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
blue yellow | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
blue | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.017535727902756183 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.010626455971002294
boggl chang particl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
boggl chang | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
boggl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
book print materi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
book print | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
book shelf space | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
book shelf | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
book | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.028169014084507043
bookshelv collect includ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
bookshelv collect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
bookshelv | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
build maintain stabl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
build maintain | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
build | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
calcul solv minut | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
calcul solv | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
calcul | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
calm seren creat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
calm seren | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
calm | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
capabl comput power | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
capabl comput | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
capabl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
causal quantum entangl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
causal quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
causal | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
caution anxieti artist | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
caution anxieti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
caution | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
centuri instanc red | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
centuri instanc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
centuri | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
challeng classic concept | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
challeng classic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
challeng qubit highli | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
challeng qubit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
challeng | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
chang particl instantli | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
chang particl | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
chang | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
check check right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/index.html 0.13979400086720378
check check | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/index.html 0.13979400086720378
check right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/index.html 0.13979400086720378
check stuff check | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 0.08600857018970891
check stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.1060269454932583 https://cs.brown.edu/courses/csci1380/sandbox/1 0.0752574989159953
check stuff right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 0.08600857018970891
check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 0.17201714037941782 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.1060269454932583 https://cs.brown.edu/courses/csci1380/sandbox/1 0.0752574989159953
check | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/index.html 0.27958800173440757 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 0.17201714037941782 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 0.1060269454932583 https://cs.brown.edu/courses/csci1380/sandbox/1 0.0752574989159953
china offer divers | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
china offer | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
china | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
classic comput bit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
classic comput thousand | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
classic comput | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.023474945555951577
classic concept space | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
classic concept | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
classic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.023474945555951577 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
claud monet master | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
claud monet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
claud | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
cognit right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
cognit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
collect dai emphas | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
collect dai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
collect hold item | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
collect hold | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
collect includ book | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
collect includ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
collect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.04225352112676056
color art aesthet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
color art | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
color convei complex | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
color convei | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
color evok strong | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
color evok | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
color individu express | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
color individu | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
color psycholog aspect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
color psycholog color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
color psycholog properti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
color psycholog | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.02630359185413428
color | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.061375047659646645 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.010626455971002294
combin histor signific | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
combin histor | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
combin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
commenc complet railwai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
commenc complet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
commenc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
complet railwai vital | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
complet railwai | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
complet | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
complex emot atmospher | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
complex emot | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
complex simul build | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
complex simul | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
complex | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
comput bit basic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
comput bit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
comput classic comput | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
comput classic | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
comput cryptographi right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
comput cryptographi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
comput cut edg | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
comput cut | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
comput potenti revolution | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
comput potenti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
comput power effici | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
comput power | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
comput quantum bit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
comput quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
comput repres leap | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
comput repres | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
comput thousand quantum | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
comput thousand | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
comput | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.09389978222380631 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
concept space causal | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
concept space | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
concept | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
congress add item | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
congress add | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
congress govern agenc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
congress govern | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
congress washington feder | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
congress washington | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
congress | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.04225352112676056
connect moscow west | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
connect moscow | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
connect | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
consid lifetim adventur | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
consid lifetim | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
consid | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
context caution anxieti | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
context caution | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
context | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
contin right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
contin | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
convei complex emot | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
convei complex | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
convei piec artwork | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
convei piec | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
convei | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.017535727902756183
copi exist record | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
copi exist | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
copi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
countri eastern seaboard | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
countri eastern | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
countri | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
creat sens peac | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
creat sens | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
creat vibrant turbul | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
creat vibrant | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.008767863951378092
creat | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_6/index.html 0.021252911942004588 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_3/index.html 0.017535727902756183
creativ librari serv | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
creativ librari | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
creativ | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
cross time zone | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
cross time | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
cross | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
cryptographi materi scienc | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
cryptographi materi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
cryptographi right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573
cryptographi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2a/index.html 0.016211484382992573 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/level_2b/index.html 0.011737472777975788
cultur experi journei | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
cultur experi | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/fact_4/index.html 0.010151516057865158
cultur institut unit | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1c/fact_5/index.html 0.014084507042253521
